question_id;question_content;group_id;form_id;pilote_id;question_info
satis_01;help you understand  how the algorithm works?;satisfaction;likert;;
satis_02;are satisfying?;satisfaction;likert;;
satis_03;have sufficient detail?;satisfaction;likert;;
satis_04;seem complete?;satisfaction;likert;;
satis_05;tell you how to use it?;satisfaction;likert;;
satis_06;are useful to your goals?;satisfaction;likert;;
satis_07;show you how accurate the algorithm is?;satisfaction;likert;;
satis_08;let you judge when you should trust and not trust the algorithm?;satisfaction;likert;;
satis_09;included a visual representation?;satisfaction;likert;;
satis_10;were mainly text-based?;satisfaction;likert;;
satis_11;included numerical values?;satisfaction;likert;;
satis_12;were interactive?;satisfaction;likert;;
lifestyle_01;Which one of the following categories best describes your field of employment?;lifestyle;checkbox;travail_domaine;
lifestyle_02;Which of the following categories best describes you?;lifestyle;scroll;origines_ethniques;
lifestyle_03;What is your marital status?;lifestyle;scroll;married;
lifestyle_04;Which of the following car models do you happen to use most often?;lifestyle;scroll;car_model;
lifestyle_05;do you smoke cigarettes and/or vape?;lifestyle;likert;smoking;How often: 
lifestyle_06;do you do activities with one or more friend(s)?;lifestyle;likert;act_friends;How often: 
lifestyle_07;do you volunteer or involve yourself in a cause?;lifestyle;likert;act_volunteer;How often: 
lifestyle_08;do you spend time in green or natural environments between May and September?;lifestyle;likert;act_nature_1;How often: 
lifestyle_09;What is your clothing style?;lifestyle;scroll;style;
lifestyle_10;Please tick the long-term health problem(s) you have.;lifestyle;checkbox;maladies;"A ""long-term health problem"" is expected to last or has already lasted 6 months or more and has been diagnosed by a health professional."
lifestyle_11;have you followed a healthy diet in the past month?;lifestyle;likert;autogestion_9;How often 
lifestyle_12;How would you rate your sleep quality over the past seven days?;lifestyle;cursor;sommeil_1;Please think about the quality of your sleep in the past seven days, such as how many hours of sleep you got, how easily you fell asleep, how often you woke up during the night (except to go to the bathroom), how often you woke up earlier than you had to in the morning, and how refreshing your sleep was.
