answer_id;answer_content;answer_weight;explain_txt;question_id
satis_01_01;I disagree strongly;1.0;;satis_01
satis_01_02;I disagree somewhat;2.0;;satis_01
satis_01_03;I'm neutral about it;3.0;;satis_01
satis_01_04;I agree somewhat;4.0;;satis_01
satis_01_05;I agree strongly;5.0;;satis_01
satis_02_01;I disagree strongly;1.0;;satis_02
satis_02_02;I disagree somewhat;2.0;;satis_02
satis_02_03;I'm neutral about it;3.0;;satis_02
satis_02_04;I agree somewhat;4.0;;satis_02
satis_02_05;I agree strongly;5.0;;satis_02
satis_03_01;I disagree strongly;1.0;;satis_03
satis_03_02;I disagree somewhat;2.0;;satis_03
satis_03_03;I'm neutral about it;3.0;;satis_03
satis_03_04;I agree somewhat;4.0;;satis_03
satis_03_05;I agree strongly;5.0;;satis_03
satis_04_01;I disagree strongly;1.0;;satis_04
satis_04_02;I disagree somewhat;2.0;;satis_04
satis_04_03;I'm neutral about it;3.0;;satis_04
satis_04_04;I agree somewhat;4.0;;satis_04
satis_04_05;I agree strongly;5.0;;satis_04
satis_05_01;I disagree strongly;1.0;;satis_05
satis_05_02;I disagree somewhat;2.0;;satis_05
satis_05_03;I'm neutral about it;3.0;;satis_05
satis_05_04;I agree somewhat;4.0;;satis_05
satis_05_05;I agree strongly;5.0;;satis_05
satis_06_01;I disagree strongly;1.0;;satis_06
satis_06_02;I disagree somewhat;2.0;;satis_06
satis_06_03;I'm neutral about it;3.0;;satis_06
satis_06_04;I agree somewhat;4.0;;satis_06
satis_06_05;I agree strongly;5.0;;satis_06
satis_07_01;I disagree strongly;1.0;;satis_07
satis_07_02;I disagree somewhat;2.0;;satis_07
satis_07_03;I'm neutral about it;3.0;;satis_07
satis_07_04;I agree somewhat;4.0;;satis_07
satis_07_05;I agree strongly;5.0;;satis_07
satis_08_01;I disagree strongly;1.0;;satis_08
satis_08_02;I disagree somewhat;2.0;;satis_08
satis_08_03;I'm neutral about it;3.0;;satis_08
satis_08_04;I agree somewhat;4.0;;satis_08
satis_08_05;I agree strongly;5.0;;satis_08
satis_09_01;I disagree strongly;1.0;;satis_09
satis_09_02;I disagree somewhat;2.0;;satis_09
satis_09_03;I'm neutral about it;3.0;;satis_09
satis_09_04;I agree somewhat;4.0;;satis_09
satis_09_05;I agree strongly;5.0;;satis_09
satis_10_01;I disagree strongly;1.0;;satis_10
satis_10_02;I disagree somewhat;2.0;;satis_10
satis_10_03;I'm neutral about it;3.0;;satis_10
satis_10_04;I agree somewhat;4.0;;satis_10
satis_10_05;I agree strongly;5.0;;satis_10
satis_11_01;I disagree strongly;1.0;;satis_11
satis_11_02;I disagree somewhat;2.0;;satis_11
satis_11_03;I'm neutral about it;3.0;;satis_11
satis_11_04;I agree somewhat;4.0;;satis_11
